payment_id,claim_number,payment_date,payment_method,paid_amount,adjustment_code,rejection_reason
PM00082351,__ORPHAN__,2024-11-05 15:24:11.737545,,ERR,,missing_payment_method
PM00095100,__ORPHAN__,2025-12-01 02:26:41.737545,,ERR,,missing_payment_method
PM00081676,__ORPHAN__,2024-09-09 21:18:55.737545,,ERR,,missing_payment_method
PM00086039,__ORPHAN__,2023-07-07 15:10:51.737545,,ERR,,missing_payment_method
PM00033187,__ORPHAN__,2025-05-01 05:48:42.737545,,ERR,,missing_payment_method
PM00063342,__ORPHAN__,2023-09-15 01:23:53.737545,,ERR,,missing_payment_method
PM00031160,__ORPHAN__,2025-04-27 10:42:17.737545,,ERR,,missing_payment_method
PM00060130,__ORPHAN__,2024-11-12 15:22:55.737545,,ERR,,missing_payment_method
PM00094261,__ORPHAN__,2025-07-21 18:51:11.737545,,ERR,,missing_payment_method
PM00066006,__ORPHAN__,2025-06-09 03:37:59.737545,,ERR,,missing_payment_method
PM00074149,__ORPHAN__,2025-06-08 02:05:04.737545,,ERR,,missing_payment_method
PM00083589,__ORPHAN__,2025-10-31 04:36:01.737545,,ERR,,missing_payment_method
PM00094368,__ORPHAN__,2023-08-15 10:33:44.737545,,ERR,,missing_payment_method
PM00073579,__ORPHAN__,2024-08-11 02:48:35.737545,,ERR,,missing_payment_method
PM00085569,__ORPHAN__,2023-09-26 20:48:15.737545,,ERR,,missing_payment_method
PM00039340,__ORPHAN__,2024-02-10 11:58:14.737545,,ERR,,missing_payment_method
PM00006130,__ORPHAN__,2023-11-14 04:23:33.737545,,ERR,,missing_payment_method
PM00077674,__ORPHAN__,2023-10-13 22:26:12.737545,,ERR,,missing_payment_method
PM00066009,__ORPHAN__,2026-03-21 15:07:20.737545,,ERR,,missing_payment_method
PM00062729,__ORPHAN__,2024-08-13 23:41:30.737545,,ERR,,missing_payment_method
PM00061642,__ORPHAN__,2024-10-21 02:34:20.737545,,ERR,,missing_payment_method
PM00087188,__ORPHAN__,2025-08-25 22:00:46.737545,,ERR,,missing_payment_method
PM00081843,__ORPHAN__,2024-08-21 01:33:02.737545,,ERR,,missing_payment_method
PM00075232,__ORPHAN__,2024-09-14 16:48:23.737545,,ERR,,missing_payment_method
PM00065824,__ORPHAN__,2025-05-30 09:49:33.737545,,ERR,,missing_payment_method
PM00096476,__ORPHAN__,2024-08-30 15:22:38.737545,,ERR,,missing_payment_method
PM00078426,__ORPHAN__,2025-08-08 05:04:01.737545,,ERR,,missing_payment_method
PM00077852,__ORPHAN__,2024-07-03 05:37:23.737545,,ERR,,missing_payment_method
PM00097247,__ORPHAN__,2024-04-24 01:36:05.737545,,ERR,,missing_payment_method
PM00089968,__ORPHAN__,2023-12-15 23:13:39.737545,,ERR,,missing_payment_method
PM00069430,__ORPHAN__,2025-10-19 21:14:08.737545,,ERR,,missing_payment_method
PM00043405,__ORPHAN__,2024-08-09 07:25:58.737545,,ERR,,missing_payment_method
PM00076757,__ORPHAN__,2025-03-16 13:12:04.737545,,ERR,,missing_payment_method
PM00070216,__ORPHAN__,2025-05-07 05:34:06.737545,,ERR,,missing_payment_method
PM00052578,__ORPHAN__,2025-09-14 14:18:39.737545,,ERR,,missing_payment_method
PM00060756,__ORPHAN__,2023-10-30 19:09:45.737545,,ERR,,missing_payment_method
PM00074837,__ORPHAN__,2024-03-27 10:52:30.737545,,ERR,,missing_payment_method
PM00038689,__ORPHAN__,2023-10-24 16:55:34.737545,,ERR,,missing_payment_method
PM00091632,__ORPHAN__,2024-01-26 22:41:34.737545,,ERR,,missing_payment_method
PM00043576,__ORPHAN__,2024-03-07 21:14:42.737545,,ERR,,missing_payment_method
PM00070305,__ORPHAN__,2024-07-26 02:44:46.737545,,ERR,,missing_payment_method
PM00065373,__ORPHAN__,2025-12-09 14:08:55.737545,,ERR,,missing_payment_method
PM00065434,__ORPHAN__,2024-10-09 13:51:01.737545,,ERR,,missing_payment_method
PM00086026,__ORPHAN__,2024-11-06 09:17:22.737545,,ERR,,missing_payment_method
PM00065291,__ORPHAN__,2023-11-13 00:21:23.737545,,ERR,,missing_payment_method
PM00091534,__ORPHAN__,2025-08-24 18:41:54.737545,,ERR,,missing_payment_method
PM00091707,__ORPHAN__,2024-01-27 20:39:46.737545,,ERR,,missing_payment_method
PM00075838,__ORPHAN__,2025-08-07 03:13:24.737545,,ERR,,missing_payment_method
PM00042696,__ORPHAN__,2025-02-27 23:12:44.737545,,ERR,,missing_payment_method
PM00090171,__ORPHAN__,2024-09-08 12:32:58.737545,,ERR,,missing_payment_method
PM00066631,__ORPHAN__,2023-08-12 17:10:08.737545,,ERR,,missing_payment_method
PM00090804,__ORPHAN__,2025-06-24 11:11:08.737545,,ERR,,missing_payment_method
PM00061516,__ORPHAN__,2025-09-26 02:17:57.737545,,ERR,,missing_payment_method
PM00089015,__ORPHAN__,2023-11-21 09:06:44.737545,,ERR,,missing_payment_method
PM00083174,__ORPHAN__,2024-04-28 13:57:09.737545,,ERR,,missing_payment_method
PM00065746,__ORPHAN__,2025-01-06 05:11:23.737545,,ERR,,missing_payment_method
PM00088929,__ORPHAN__,2025-10-19 00:32:33.737545,,ERR,,missing_payment_method
PM00093235,__ORPHAN__,2023-07-13 08:24:42.737545,,ERR,,missing_payment_method
PM00083999,__ORPHAN__,2024-10-05 16:47:16.737545,,ERR,,missing_payment_method
PM00021397,__ORPHAN__,2025-01-22 20:01:26.737545,,ERR,,missing_payment_method
PM00084580,__ORPHAN__,2023-08-07 13:06:56.737545,,ERR,,missing_payment_method
PM00095917,__ORPHAN__,2023-07-03 22:51:44.737545,,ERR,,missing_payment_method
PM00048671,__ORPHAN__,2023-07-10 01:18:35.737545,,ERR,,missing_payment_method
PM00080885,__ORPHAN__,2026-04-06 18:27:29.737545,,ERR,,missing_payment_method
PM00082380,__ORPHAN__,2026-01-15 22:55:02.737545,,ERR,,missing_payment_method
PM00081836,__ORPHAN__,2025-12-03 16:26:45.737545,,ERR,,missing_payment_method
PM00092945,__ORPHAN__,2023-12-23 02:18:38.737545,,ERR,,missing_payment_method
PM00080431,__ORPHAN__,2024-06-22 04:50:44.737545,,ERR,,missing_payment_method
PM00087909,__ORPHAN__,2024-02-19 07:13:21.737545,,ERR,,missing_payment_method
PM00006757,__ORPHAN__,2024-05-30 09:49:48.737545,,ERR,,missing_payment_method
PM00063273,__ORPHAN__,2025-09-08 16:52:06.737545,,ERR,,missing_payment_method
PM00091501,__ORPHAN__,2025-03-30 13:31:34.737545,,ERR,,missing_payment_method
PM00070878,__ORPHAN__,2024-07-14 14:38:00.737545,,ERR,,missing_payment_method
PM00063341,__ORPHAN__,2023-09-29 00:50:54.737545,,ERR,,missing_payment_method
PM00004665,__ORPHAN__,2024-09-01 12:50:49.737545,,ERR,,missing_payment_method
PM00082804,__ORPHAN__,2025-10-09 13:40:06.737545,,ERR,,missing_payment_method
PM00013811,__ORPHAN__,2023-07-28 10:16:51.737545,,ERR,,missing_payment_method
PM00096624,__ORPHAN__,2025-11-01 07:03:11.737545,,ERR,,missing_payment_method
PM00008980,__ORPHAN__,2025-03-16 07:37:07.737545,,ERR,,missing_payment_method
PM00093594,__ORPHAN__,2024-06-07 16:33:43.737545,,ERR,,missing_payment_method
PM00073699,__ORPHAN__,2024-05-10 04:30:31.737545,,ERR,,missing_payment_method
PM00099414,__ORPHAN__,2025-08-07 15:14:46.737545,,ERR,,missing_payment_method
PM00030442,__ORPHAN__,2024-01-06 23:48:02.737545,,ERR,,missing_payment_method
PM00091036,__ORPHAN__,2025-04-18 17:32:15.737545,,ERR,,missing_payment_method
PM00064763,__ORPHAN__,2024-02-14 05:27:12.737545,,ERR,,missing_payment_method
PM00081324,__ORPHAN__,2024-02-09 19:14:38.737545,,ERR,,missing_payment_method
PM00072890,__ORPHAN__,2024-04-01 18:27:44.737545,,ERR,,missing_payment_method
PM00064281,__ORPHAN__,2024-02-13 04:59:43.737545,,ERR,,missing_payment_method
PM00099579,__ORPHAN__,2025-03-16 14:13:49.737545,,ERR,,missing_payment_method
PM00083134,__ORPHAN__,2025-04-17 22:46:29.737545,,ERR,,missing_payment_method
PM00025760,__ORPHAN__,2025-06-15 01:06:02.737545,,ERR,,missing_payment_method
PM00040775,__ORPHAN__,2026-04-22 19:48:35.737545,,ERR,,missing_payment_method
