provider_id,provider_name,specialty,city,state,tax_id,license_no,rejection_reason
P036754,Parmer-Dube,,Rewa,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P038687,Rana-Gokhale,,Ghaziabad,Punjab,XXXXX,BADLIC,missing_specialty
P036976,Jhaveri-Mohan,,Aligarh,Meghalaya,XXXXX,BADLIC,missing_specialty
P037465,"Krish, Basu and Palla",,Sonipat,Odisha,XXXXX,BADLIC,missing_specialty
P036440,"Bali, Chana and Kibe",,Guwahati,Bihar,XXXXX,BADLIC,missing_specialty
P039716,Puri-Cherian,,Madhyamgram,Kerala,XXXXX,BADLIC,missing_specialty
P029384,"Vasa, Sarraf and Pai",,Muzaffarpur,Telangana,XXXXX,BADLIC,missing_specialty
P035134,"Mukherjee, Chaudry and Bava",,Fatehpur,Assam,XXXXX,BADLIC,missing_specialty
P039790,Dubey-Sridhar,,Bally,Maharashtra,XXXXX,BADLIC,missing_specialty
P036889,Kamdar and Sons,,Bharatpur,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P038622,"Brar, Parikh and Desai",,Mau,Tripura,XXXXX,BADLIC,missing_specialty
P036292,Parekh-Raghavan,,Bhiwani,Manipur,XXXXX,BADLIC,missing_specialty
P037655,Das-Bera,,Ulhasnagar,Karnataka,XXXXX,BADLIC,missing_specialty
P029263,Chad-Chowdhury,,Gandhinagar,Tripura,XXXXX,BADLIC,missing_specialty
P039428,Bakshi Ltd,,Sikar,Assam,XXXXX,BADLIC,missing_specialty
P035609,"Chokshi, Goyal and Ganesan",,Anantapuram,Sikkim,XXXXX,BADLIC,missing_specialty
P028598,"Virk, Lad and Andra",,Bhalswa Jahangir Pur,Punjab,XXXXX,BADLIC,missing_specialty
P010752,Rajagopalan Group,,Dibrugarh,Meghalaya,XXXXX,BADLIC,missing_specialty
P035217,"Oza, Pandey and Zacharia",,Nanded,Goa,XXXXX,BADLIC,missing_specialty
P039975,Batta and Sons,,Bhopal,Meghalaya,XXXXX,BADLIC,missing_specialty
P039951,Devi Ltd,,Muzaffarnagar,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P038177,"Rout, Sehgal and Ganesh",,Loni,Meghalaya,XXXXX,BADLIC,missing_specialty
P036258,Sharaf-Pai,,Silchar,Assam,XXXXX,BADLIC,missing_specialty
P037429,Balan and Sons,,Alappuzha,Nagaland,XXXXX,BADLIC,missing_specialty
P035082,"Dhar, Loke and Barad",,Jamalpur,Gujarat,XXXXX,BADLIC,missing_specialty
P001479,"Kaul, Batta and Kant",,Dehradun,Bihar,XXXXX,BADLIC,missing_specialty
P038537,"Sridhar, Ramanathan and Shankar",,Tadipatri,Bihar,XXXXX,BADLIC,missing_specialty
P032109,Ray Group,,Raipur,Meghalaya,XXXXX,BADLIC,missing_specialty
P007818,"Pal, Chada and Deshmukh",,Purnia,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P031481,Munshi-Solanki,,Bulandshahr,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P019493,Nagar and Sons,,Ujjain,Tripura,XXXXX,BADLIC,missing_specialty
P038514,"Iyer, Aurora and Wali",,Panihati,Jharkhand,XXXXX,BADLIC,missing_specialty
P036172,Barad Inc,,Ghaziabad,West Bengal,XXXXX,BADLIC,missing_specialty
P039602,"Som, Joshi and Wadhwa",,Mau,Mizoram,XXXXX,BADLIC,missing_specialty
P026675,Parekh-Singhal,,Morbi,Haryana,XXXXX,BADLIC,missing_specialty
P037857,"Dhaliwal, Sankar and Sama",,Gudivada,Jharkhand,XXXXX,BADLIC,missing_specialty
P037504,Joshi Group,,Guwahati,Maharashtra,XXXXX,BADLIC,missing_specialty
P037893,Dey-Kibe,,Bidhannagar,Meghalaya,XXXXX,BADLIC,missing_specialty
P006206,Kanda PLC,,Raiganj,Odisha,XXXXX,BADLIC,missing_specialty
P024903,"Wali, Dara and Behl",,Madurai,Telangana,XXXXX,BADLIC,missing_specialty
P034941,"Wali, Gole and Rege",,Giridih,Telangana,XXXXX,BADLIC,missing_specialty
P036485,"Som, Rao and Gola",,Karimnagar,Tamil Nadu,XXXXX,BADLIC,missing_specialty
P035183,"Pillay, Ganesh and Krishna",,Gwalior,Haryana,XXXXX,BADLIC,missing_specialty
P009043,Subramanian-Gokhale,,Dhanbad,Punjab,XXXXX,BADLIC,missing_specialty
P035854,Varghese-Parsa,,Kulti,Uttarakhand,XXXXX,BADLIC,missing_specialty
P038542,Hayer Ltd,,Amravati,Uttar Pradesh,XXXXX,BADLIC,missing_specialty
P003851,Rout-Aurora,,Tenali,Goa,XXXXX,BADLIC,missing_specialty
P038355,Bose Ltd,,Madanapalle,Arunachal Pradesh,XXXXX,BADLIC,missing_specialty
P003767,"Warrior, Kothari and Kapur",,Dindigul,Nagaland,XXXXX,BADLIC,missing_specialty
P002593,"Bhat, Lal and Deo",,Panipat,Sikkim,XXXXX,BADLIC,missing_specialty
P035123,Kothari-Bhakta,,Ludhiana,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P038832,Bhargava-Wadhwa,,Bhopal,Telangana,XXXXX,BADLIC,missing_specialty
P038090,Sahni-Karpe,,Rajpur Sonarpur,Tamil Nadu,XXXXX,BADLIC,missing_specialty
P036121,Rout-Pillay,,Ambarnath,Nagaland,XXXXX,BADLIC,missing_specialty
P038697,Bhatt Inc,,Phagwara,Maharashtra,XXXXX,BADLIC,missing_specialty
P035242,Mukherjee PLC,,Haldia,Jharkhand,XXXXX,BADLIC,missing_specialty
P038527,Hegde-Chand,,Tadepalligudem,Gujarat,XXXXX,BADLIC,missing_specialty
P022600,Guha-Baral,,Warangal,Nagaland,XXXXX,BADLIC,missing_specialty
P036982,Hari LLC,,Tezpur,Assam,XXXXX,BADLIC,missing_specialty
P038649,Brahmbhatt-Palla,,Madhyamgram,Punjab,XXXXX,BADLIC,missing_specialty
P035849,Chakrabarti-Tandon,,Faridabad,Rajasthan,XXXXX,BADLIC,missing_specialty
P031858,"Vyas, Dhawan and Murthy",,Anantapur,Telangana,XXXXX,BADLIC,missing_specialty
P037262,Kamdar-Rai,,Chandigarh,Arunachal Pradesh,XXXXX,BADLIC,missing_specialty
P039398,"Chana, Sunder and Randhawa",,Pali,Assam,XXXXX,BADLIC,missing_specialty
P038346,"Banerjee, Khurana and Rau",,Junagadh,Tamil Nadu,XXXXX,BADLIC,missing_specialty
P035275,Tara-Sama,,Etawah,Uttarakhand,XXXXX,BADLIC,missing_specialty
P039677,Dara LLC,,Agartala,Punjab,XXXXX,BADLIC,missing_specialty
P035558,"Chadha, Shenoy and Prakash",,Karimnagar,Tamil Nadu,XXXXX,BADLIC,missing_specialty
P037278,Nath Inc,,Guna,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P038946,Anne-Sengupta,,Tiruvottiyur,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P039290,Master-Sha,,Guntur,West Bengal,XXXXX,BADLIC,missing_specialty
P007698,"Mall, Sur and Sarin",,Kadapa,West Bengal,XXXXX,BADLIC,missing_specialty
P036765,Ramakrishnan-Palan,,Gangtok,Sikkim,XXXXX,BADLIC,missing_specialty
P039831,Deol-Loke,,Rampur,Mizoram,XXXXX,BADLIC,missing_specialty
P038991,Rajan-Memon,,Unnao,Goa,XXXXX,BADLIC,missing_specialty
P038476,Ram-Warrior,,Khandwa,Gujarat,XXXXX,BADLIC,missing_specialty
P037073,"Cheema, Kota and Baral",,Jalandhar,West Bengal,XXXXX,BADLIC,missing_specialty
P038280,Aurora-Khatri,,Durg,Tripura,XXXXX,BADLIC,missing_specialty
P036530,Edwin-Bath,,Siwan,Uttarakhand,XXXXX,BADLIC,missing_specialty
P036919,Kaul PLC,,Amritsar,Maharashtra,XXXXX,BADLIC,missing_specialty
P037669,Hans-Manne,,Malegaon,Telangana,XXXXX,BADLIC,missing_specialty
P033096,Behl Inc,,Bhagalpur,Tripura,XXXXX,BADLIC,missing_specialty
P027739,Joshi Ltd,,Erode,Rajasthan,XXXXX,BADLIC,missing_specialty
P036898,Raman LLC,,Satna,Manipur,XXXXX,BADLIC,missing_specialty
P020146,Rajagopal and Sons,,Mangalore,West Bengal,XXXXX,BADLIC,missing_specialty
P037359,Srinivasan-Menon,,Akola,Punjab,XXXXX,BADLIC,missing_specialty
P035653,"Dhawan, Natt and Brahmbhatt",,Durg,Gujarat,XXXXX,BADLIC,missing_specialty
P039746,Johal-Basu,,Pali,Rajasthan,XXXXX,BADLIC,missing_specialty
P000645,"Dhar, Bhargava and Kibe",,Buxar,Uttar Pradesh,XXXXX,BADLIC,missing_specialty
P037127,"Patla, Manne and Bassi",,Nagpur,Punjab,XXXXX,BADLIC,missing_specialty
P037957,Dyal LLC,,Karawal Nagar,Uttar Pradesh,XXXXX,BADLIC,missing_specialty
P037480,Rai Inc,,Amaravati,Tamil Nadu,XXXXX,BADLIC,missing_specialty
P033323,"Dar, Varughese and Char",,Thane,Gujarat,XXXXX,BADLIC,missing_specialty
P038828,Raman-Badal,,Kochi,Kerala,XXXXX,BADLIC,missing_specialty
P038149,Ramanathan-Lalla,,Bharatpur,Punjab,XXXXX,BADLIC,missing_specialty
P038482,Upadhyay LLC,,Latur,Assam,XXXXX,BADLIC,missing_specialty
P038267,Shanker-Roy,,Kolkata,Assam,XXXXX,BADLIC,missing_specialty
P038455,Sodhi Ltd,,Jalna,Rajasthan,XXXXX,BADLIC,missing_specialty
P035067,Rai-Koshy,,Kamarhati,Rajasthan,XXXXX,BADLIC,missing_specialty
P005064,"Batta, Dua and Bhatnagar",,Hazaribagh,Tripura,XXXXX,BADLIC,missing_specialty
P029408,"Ratti, Keer and Edwin",,Ranchi,Haryana,XXXXX,BADLIC,missing_specialty
P038929,Sampath-Gokhale,,Tadepalligudem,Mizoram,XXXXX,BADLIC,missing_specialty
P039965,Kadakia LLC,,Solapur,Karnataka,XXXXX,BADLIC,missing_specialty
P038952,"Dewan, Chakraborty and Sachdeva",,Jaipur,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P012463,Magar-Keer,,Ozhukarai,Maharashtra,XXXXX,BADLIC,missing_specialty
P039073,Gola-Dugal,,Agartala,Tripura,XXXXX,BADLIC,missing_specialty
P036395,Iyer Inc,,Bhimavaram,Kerala,XXXXX,BADLIC,missing_specialty
P037636,Jayaraman-Parekh,,Pimpri-Chinchwad,Assam,XXXXX,BADLIC,missing_specialty
P037953,Palan Inc,,Amaravati,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P036334,Chanda Group,,Nangloi Jat,Karnataka,XXXXX,BADLIC,missing_specialty
P038837,"Kulkarni, Hans and Kamdar",,Jammu,Karnataka,XXXXX,BADLIC,missing_specialty
P038107,Mannan-Bava,,Mira-Bhayandar,Assam,XXXXX,BADLIC,missing_specialty
P038286,Mannan-Bava,,Bardhaman,West Bengal,XXXXX,BADLIC,missing_specialty
P037906,Vasa-Date,,Phusro,Mizoram,XXXXX,BADLIC,missing_specialty
P039173,"Choudhry, Prashad and Toor",,Buxar,Jharkhand,XXXXX,BADLIC,missing_specialty
P036957,"Char, Hayer and Dara",,Karimnagar,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P037255,Mukherjee-Yadav,,Bhalswa Jahangir Pur,Uttar Pradesh,XXXXX,BADLIC,missing_specialty
P038433,Pillai-Patla,,Jamnagar,Arunachal Pradesh,XXXXX,BADLIC,missing_specialty
P035392,Mitter-Madan,,Tirunelveli,Gujarat,XXXXX,BADLIC,missing_specialty
P035790,Manda-Palan,,Muzaffarpur,Goa,XXXXX,BADLIC,missing_specialty
P018112,"Thaker, Char and Mander",,Mira-Bhayandar,Karnataka,XXXXX,BADLIC,missing_specialty
P035641,"Sangha, Mangal and Bobal",,Imphal,Karnataka,XXXXX,BADLIC,missing_specialty
P038640,"Korpal, Joshi and Thaman",,Rajkot,Haryana,XXXXX,BADLIC,missing_specialty
P036839,Choudhry Ltd,,Malegaon,Assam,XXXXX,BADLIC,missing_specialty
P013901,"Korpal, Mohan and Sahni",,Malda,Karnataka,XXXXX,BADLIC,missing_specialty
P036108,Amble Ltd,,Sambhal,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P006348,Sem-Prashad,,Ichalkaranji,Goa,XXXXX,BADLIC,missing_specialty
P036006,"Mohan, Hans and Soman",,Karnal,Uttarakhand,XXXXX,BADLIC,missing_specialty
P036565,"Khare, Thaman and Sule",,Alappuzha,Odisha,XXXXX,BADLIC,missing_specialty
P039829,"Bahl, Patla and Gera",,Bhalswa Jahangir Pur,Nagaland,XXXXX,BADLIC,missing_specialty
P038134,Ratta-Mistry,,Hindupur,Maharashtra,XXXXX,BADLIC,missing_specialty
P036712,"Goda, Dara and Kaur",,Parbhani,West Bengal,XXXXX,BADLIC,missing_specialty
P011019,Luthra Group,,Bharatpur,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P014311,"Saran, Pandya and Pandey",,Rohtak,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P035562,Warrior Group,,Fatehpur,Telangana,XXXXX,BADLIC,missing_specialty
P035099,"Pandey, Soman and Panchal",,Chittoor,Assam,XXXXX,BADLIC,missing_specialty
P039190,Sinha-Kumer,,Orai,Haryana,XXXXX,BADLIC,missing_specialty
P005230,Sodhi LLC,,Nagaon,Meghalaya,XXXXX,BADLIC,missing_specialty
P038028,Sunder-Modi,,Thanjavur,Nagaland,XXXXX,BADLIC,missing_specialty
P039489,Sundaram Ltd,,Sonipat,Haryana,XXXXX,BADLIC,missing_specialty
P035471,"Sodhi, Varkey and Magar",,Junagadh,West Bengal,XXXXX,BADLIC,missing_specialty
P012006,Murty Ltd,,Karimnagar,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P036337,Kumer PLC,,Srikakulam,Karnataka,XXXXX,BADLIC,missing_specialty
P037199,Chopra-Bawa,,Saharanpur,Tamil Nadu,XXXXX,BADLIC,missing_specialty
P037353,Das and Sons,,Chapra,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P032105,Mann-Zacharia,,Moradabad,Odisha,XXXXX,BADLIC,missing_specialty
P035375,Bawa Group,,Karimnagar,Haryana,XXXXX,BADLIC,missing_specialty
P037976,Bhargava-Kashyap,,Ahmedabad,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P035050,"Sachdev, Karan and Bail",,Malegaon,Uttarakhand,XXXXX,BADLIC,missing_specialty
P035466,"Seshadri, Sundaram and Bhargava",,Ballia,Odisha,XXXXX,BADLIC,missing_specialty
P038999,Chawla PLC,,Mira-Bhayandar,Gujarat,XXXXX,BADLIC,missing_specialty
P039661,"Vora, Lall and Prashad",,Kharagpur,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P039177,Pillay-Vala,,Proddatur,Punjab,XXXXX,BADLIC,missing_specialty
P039011,"Palan, Keer and Char",,Nagaon,Tripura,XXXXX,BADLIC,missing_specialty
P039214,"Karnik, Gala and Thakur",,Ahmedabad,Manipur,XXXXX,BADLIC,missing_specialty
P035745,Subramaniam Ltd,,Eluru,Tripura,XXXXX,BADLIC,missing_specialty
P001463,Dhingra PLC,,Bally,Odisha,XXXXX,BADLIC,missing_specialty
P039738,"Sem, Pandit and Mann",,Srikakulam,Kerala,XXXXX,BADLIC,missing_specialty
P016163,Kapur Ltd,,Kishanganj,Nagaland,XXXXX,BADLIC,missing_specialty
P020176,Saini-Varkey,,Khandwa,Rajasthan,XXXXX,BADLIC,missing_specialty
P037019,Mane-Dhawan,,Jalandhar,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P035484,Thaman-Walla,,Kurnool,Haryana,XXXXX,BADLIC,missing_specialty
P038478,"Agarwal, Varughese and Wadhwa",,Hyderabad,Uttar Pradesh,XXXXX,BADLIC,missing_specialty
P039174,"Purohit, Barman and Babu",,Dehradun,Bihar,XXXXX,BADLIC,missing_specialty
P038145,Parmar Group,,Pondicherry,West Bengal,XXXXX,BADLIC,missing_specialty
P035368,Chahal PLC,,Mysore,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P038462,Oza-Thakkar,,Thoothukudi,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P036721,"Konda, Nazareth and Chacko",,Pondicherry,Gujarat,XXXXX,BADLIC,missing_specialty
P015797,"Kanda, Deep and Bobal",,Mau,Jharkhand,XXXXX,BADLIC,missing_specialty
P035903,Kumer-Cheema,,Satara,Haryana,XXXXX,BADLIC,missing_specialty
P038064,Viswanathan-Borra,,Rajpur Sonarpur,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P037507,"Dash, Sharma and Sarma",,Anand,Nagaland,XXXXX,BADLIC,missing_specialty
P002690,Kota and Sons,,Pali,Assam,XXXXX,BADLIC,missing_specialty
P035537,"Magar, Bumb and Palla",,Tiruvottiyur,Assam,XXXXX,BADLIC,missing_specialty
P039033,Chopra-Bawa,,Tenali,Punjab,XXXXX,BADLIC,missing_specialty
P029599,Joshi Group,,Dehradun,Haryana,XXXXX,BADLIC,missing_specialty
P038161,Pant Inc,,Kozhikode,Rajasthan,XXXXX,BADLIC,missing_specialty
P036168,Ranganathan Inc,,Amaravati,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P039089,"Thaman, Baral and Ramanathan",,Rajahmundry,Sikkim,XXXXX,BADLIC,missing_specialty
P022616,Sahota-Murthy,,Ramagundam,Odisha,XXXXX,BADLIC,missing_specialty
P039638,"Dyal, Banerjee and Gade",,Durg,Maharashtra,XXXXX,BADLIC,missing_specialty
P038051,"Vaidya, Mittal and Misra",,Gorakhpur,Karnataka,XXXXX,BADLIC,missing_specialty
P027287,"Palla, Gaba and Pal",,Munger,West Bengal,XXXXX,BADLIC,missing_specialty
P038368,Pai-Rama,,Tiruchirappalli,Odisha,XXXXX,BADLIC,missing_specialty
P039912,Rattan-Balakrishnan,,Kadapa,Telangana,XXXXX,BADLIC,missing_specialty
P012086,"Rajan, Kothari and Sama",,Gudivada,West Bengal,XXXXX,BADLIC,missing_specialty
P025162,Dutta-Chander,,Agartala,Assam,XXXXX,BADLIC,missing_specialty
P019098,Gokhale-Lall,,Dindigul,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P038144,Khosla Inc,,Khora ,Punjab,XXXXX,BADLIC,missing_specialty
P036314,Memon-Balasubramanian,,South Dumdum,Punjab,XXXXX,BADLIC,missing_specialty
P038764,Soman-Ramanathan,,Gandhidham,West Bengal,XXXXX,BADLIC,missing_specialty
P039276,Bakshi-Shankar,,Karimnagar,Rajasthan,XXXXX,BADLIC,missing_specialty
P037125,Sodhi Inc,,Ujjain,Chhattisgarh,XXXXX,BADLIC,missing_specialty
P038019,"Bhagat, Kadakia and Jha",,Hubli–Dharwad,Mizoram,XXXXX,BADLIC,missing_specialty
P002127,"Sathe, Oza and Gour",,Nizamabad,Sikkim,XXXXX,BADLIC,missing_specialty
P038098,Doctor and Sons,,Thoothukudi,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P038457,Lata-Dara,,Kharagpur,Mizoram,XXXXX,BADLIC,missing_specialty
P037838,Madan-Soni,,Vadodara,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P038957,Yadav-Ravel,,Rewa,Assam,XXXXX,BADLIC,missing_specialty
P009542,"Ganesh, Purohit and Borra",,Fatehpur,Gujarat,XXXXX,BADLIC,missing_specialty
P038753,Uppal-Tella,,Nagaon,Karnataka,XXXXX,BADLIC,missing_specialty
P018538,Nagi and Sons,,Madhyamgram,Goa,XXXXX,BADLIC,missing_specialty
P028537,Behl-Peri,,Gudivada,Chhattisgarh,XXXXX,BADLIC,missing_specialty
P036823,Agate LLC,,Mau,West Bengal,XXXXX,BADLIC,missing_specialty
P039641,Jain-Gaba,,Kanpur,Karnataka,XXXXX,BADLIC,missing_specialty
P037649,"Merchant, Jayaraman and Gara",,Mirzapur,Maharashtra,XXXXX,BADLIC,missing_specialty
P036178,Khalsa-Sule,,Mau,Maharashtra,XXXXX,BADLIC,missing_specialty
P039798,Jain-Ben,,Adoni,Assam,XXXXX,BADLIC,missing_specialty
P035859,Bala-Singhal,,Nizamabad,Uttarakhand,XXXXX,BADLIC,missing_specialty
P000760,Badami Ltd,,Ujjain,Maharashtra,XXXXX,BADLIC,missing_specialty
P029162,"Kaur, Dua and Yohannan",,Malda,Uttarakhand,XXXXX,BADLIC,missing_specialty
P037244,"Jani, Batta and Chakraborty",,Pallavaram,Kerala,XXXXX,BADLIC,missing_specialty
P036226,Banerjee and Sons,,Adoni,Odisha,XXXXX,BADLIC,missing_specialty
P038769,Suri Group,,Anantapur,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P037694,Baral-Varughese,,Secunderabad,Odisha,XXXXX,BADLIC,missing_specialty
P038630,"Yadav, Comar and Sridhar",,Allahabad,Rajasthan,XXXXX,BADLIC,missing_specialty
P038139,Yadav Inc,,Bilaspur,Mizoram,XXXXX,BADLIC,missing_specialty
P039931,"Narayanan, Chacko and Nazareth",,Khammam,Odisha,XXXXX,BADLIC,missing_specialty
P037980,Nadkarni LLC,,Kamarhati,Odisha,XXXXX,BADLIC,missing_specialty
P038048,"Chowdhury, Sandal and Rao",,Kota,Nagaland,XXXXX,BADLIC,missing_specialty
P008938,Balakrishnan-Parekh,,Malegaon,Tripura,XXXXX,BADLIC,missing_specialty
P039123,Virk-Ghose,,Etawah,Meghalaya,XXXXX,BADLIC,missing_specialty
P038498,Mand-Deo,,Sultan Pur Majra,Tamil Nadu,XXXXX,BADLIC,missing_specialty
P032957,"Chahal, Goswami and Goda",,Sonipat,Sikkim,XXXXX,BADLIC,missing_specialty
P036746,Mammen PLC,,Sagar,Gujarat,XXXXX,BADLIC,missing_specialty
P028786,"Bhalla, Bassi and Agarwal",,Aizawl,Haryana,XXXXX,BADLIC,missing_specialty
P036563,Kohli-Suresh,,Pudukkottai,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P029496,Badami-Wali,,Thoothukudi,Gujarat,XXXXX,BADLIC,missing_specialty
P035908,Rout-Prasad,,Unnao,Telangana,XXXXX,BADLIC,missing_specialty
P037791,"Mall, Sur and Sarin",,Kalyan-Dombivli,Sikkim,XXXXX,BADLIC,missing_specialty
P038550,"Dhillon, Majumdar and Chad",,Shivpuri,Jharkhand,XXXXX,BADLIC,missing_specialty
P036324,Kohli LLC,,Panihati,Tripura,XXXXX,BADLIC,missing_specialty
P032398,"Mangal, D’Alia and Chowdhury",,Ratlam,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P039646,Nagar-Mander,,Uluberia,Odisha,XXXXX,BADLIC,missing_specialty
P038848,Kant-Parmar,,Bidar,Assam,XXXXX,BADLIC,missing_specialty
P039678,"Tata, Kala and Krish",,Katihar,Manipur,XXXXX,BADLIC,missing_specialty
P035331,Dalal LLC,,Tadepalligudem,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P035820,Bhagat-Baria,,Gwalior,Tripura,XXXXX,BADLIC,missing_specialty
P039712,Madan Group,,Chennai,Karnataka,XXXXX,BADLIC,missing_specialty
P038450,Kunda and Sons,,Thiruvananthapuram,Maharashtra,XXXXX,BADLIC,missing_specialty
P035882,"Swaminathan, Vasa and Dugar",,Maheshtala,Assam,XXXXX,BADLIC,missing_specialty
P039448,Cherian PLC,,Mangalore,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P037941,"Contractor, Rattan and Bava",,Satara,Mizoram,XXXXX,BADLIC,missing_specialty
